titre,entreprise,secteur,localisation,competences,experience,contrat,description,source,text_for_matching,text_clean,cluster_dbscan
Chercheur dans le domaine de la petite enfance,FMPS - Fondation Marocaine du Préscolaire,Enseignement / Formation,Rabat (Maroc),,"Lancer 4K Chercheur dans le domaine de la petite enfance | Rabat (Maroc) 1 La Fondation Marocaine du Préscolaire recrute un Chercheur en petite enfance pour mener des veilles scientifiques, réaliser des recherches-actions et produire des publications",CDI,"Emploi - FMPS - Fondation Marocaine du Préscolaire Entreprise: FMPS - Fondation Marocaine du Préscolaire Secteur: Enseignement / Formation Postes proposés: 5 Description: La Fondation Marocaine du Préscolaire (FMPS) incarne l'engagement indéfectible envers la généralisation de l'enseignement préscolaire au Maroc. Depuis 2019, notre fondation a connu une expansion remarquable, passant d'un réseau de 350 à 22 000 classes préscolaires. La Fondation opère pour le compte du Ministère de l’Éducation Nationale, du Préscolaire et des Sports et assure la gestion de 70% du préscolaire public Marocain. Nous nous engageons à offrir aux... La Fondation Marocaine du Préscolaire (FMPS) incarne l'engagement indéfectible envers la généralisation de l'enseignement préscolaire au Maroc. Depuis 2019, notre fondation a connu une expansion remarquable, passant d'un réseau de 350 à 22 000 classes préscolaires. La Fondation opère pour le compte du Ministère de l’Éducation Nationale, du Préscolaire et des Sports et assure la gestion de 70% du préscolaire public Marocain. Nous nous engageons à offrir aux enfants âgés de 4 à 6 ans les bases essentielles pour un parcours éducatif de qualité. En coll",rekrute,"Chercheur dans le domaine de la petite enfance Enseignement / Formation Emploi - FMPS - Fondation Marocaine du Préscolaire Entreprise: FMPS - Fondation Marocaine du Préscolaire Secteur: Enseignement / Formation Postes proposés: 5 Description: La Fondation Marocaine du Préscolaire (FMPS) incarne l'engagement indéfectible envers la généralisation de l'enseignement préscolaire au Maroc. Depuis 2019, notre fondation a connu une expansion remarquable, passant d'un réseau de 350 à 22 000 classes préscolaires. La Fondation opère pour le compte du Ministère de l’Éducation Nationale, du Préscolaire et des Sports et assure la gestion de 70% du préscolaire public Marocain. Nous nous engageons à offrir aux... La Fondation Marocaine du Préscolaire (FMPS) incarne l'engagement indéfectible envers la généralisation de l'enseignement préscolaire au Maroc. Depuis 2019, notre fondation a connu une expansion remarquable, passant d'un réseau de 350 à 22 000 classes préscolaires. La Fondation opère pour le compte du Ministère de l’Éducation Nationale, du Préscolaire et des Sports et assure la gestion de 70% du préscolaire public Marocain. Nous nous engageons à offrir aux enfants âgés de 4 à 6 ans les bases essentielles pour un parcours éducatif de qualité. En coll",chercheur domaine petit enfance enseignement formation emploi fmp fondation marocain prescolaire entreprise fmps fondation marocain prescolaire secteur enseignement formation poste propose description fondation marocain prescolair fmp incarn engagement indefectibl generalisation enseignement prescolair maroc fondation connaître expansion remarquable passer reseau classe prescolaire fondation opere compte ministere leducation national prescolaire sport assurer gestion prescolaire public marocain engager offrir fondation marocain prescolair fmp incarn engagement indefectibl generalisation enseignement prescolair maroc fondation connaître expansion remarquable passer reseau classe prescolaire fondation opere compte ministere leducation national prescolaire sport assurer gestion prescolaire public marocain engager offrir enfant age base essentiel parcours educatif qualite coll,-1
Comptable Confirmé,Ciments du Maroc,BTP / Génie Civil,Casablanca (Maroc),,"Lancer 4K Comptable Confirmé | Casablanca (Maroc) 5 Ciments du Maroc, filiale de Heidelberg Materials, recherche un Comptable Confirmé. Vos missions incluront la tenue de la comptabilité générale, la gestion des clôtures et la participation à l'optim",CDI,"Emploi - Ciments du Maroc Entreprise: Ciments du Maroc Secteur: BTP / Génie Civil Postes proposés: 14 Description: Ciments du Maroc, plus de 70 ans d’histoire d’hommes et de femmes au service du développement du Royaume. Filiale du leader mondial Heidelberg Materials, nous sommes un acteur incontournable des matériaux de construction au Maroc, et groupe industriel de référence opérant dans les métiers du ciment, du béton prêt à l’emploi et des granulats. Notre force réside dans notre savoir-faire, notre engagement et notre capacité à accompagner les grands projets structurants du pays. Avec plus de 900... Ciments du Maroc, plus de 70 ans d’histoire d’hommes et de femmes au service du développement du Royaume. Filiale du leader mondial Heidelberg Materials, nous sommes un acteur incontournable des matériaux de construction au Maroc, et groupe industriel de référence opérant dans les métiers du ciment, du béton prêt à l’emploi et des granulats. Notre force réside dans notre savoir-faire, notre engagement et notre capacité à accompagner les grands projets structurants du pays. Avec plus de 900 collaborateurs, nous disposons d’un ancrage territorial solide et d’un dispositif indus",rekrute,"Comptable Confirmé BTP / Génie Civil Emploi - Ciments du Maroc Entreprise: Ciments du Maroc Secteur: BTP / Génie Civil Postes proposés: 14 Description: Ciments du Maroc, plus de 70 ans d’histoire d’hommes et de femmes au service du développement du Royaume. Filiale du leader mondial Heidelberg Materials, nous sommes un acteur incontournable des matériaux de construction au Maroc, et groupe industriel de référence opérant dans les métiers du ciment, du béton prêt à l’emploi et des granulats. Notre force réside dans notre savoir-faire, notre engagement et notre capacité à accompagner les grands projets structurants du pays. Avec plus de 900... Ciments du Maroc, plus de 70 ans d’histoire d’hommes et de femmes au service du développement du Royaume. Filiale du leader mondial Heidelberg Materials, nous sommes un acteur incontournable des matériaux de construction au Maroc, et groupe industriel de référence opérant dans les métiers du ciment, du béton prêt à l’emploi et des granulats. Notre force réside dans notre savoir-faire, notre engagement et notre capacité à accompagner les grands projets structurants du pays. Avec plus de 900 collaborateurs, nous disposons d’un ancrage territorial solide et d’un dispositif indus",comptable confirme btp genie civil emploi ciment maroc entreprendre ciment maroc secteur btp geni civil poste propose description ciment maroc dhistoir dhomme femme service developpement royaume filial leader mondial heidelberg material acteur incontournable materiau construction maroc groupe industriel reference operer metier ciment beton pret lemploi granulat force reside savoir faire engagement capacite accompagner grand projet structurant pays ciment maroc dhistoir dhomme femme service developpement royaume filial leader mondial heidelberg material acteur incontournable materiau construction maroc groupe industriel reference operer metier ciment beton pret lemploi granulat force reside savoir faire engagement capacite accompagner grand projet structurant pays collaborateur disposer dun ancrage territorial solide dun dispositif indu,-1
Cadre Commercial Francophone Top Performers,Alkimy,Offshoring / Nearshoring,Casablanca (Maroc),Analyse,Lancer 4K Cadre Commercial Francophone Top Performers | Casablanca (Maroc) 5 Rejoignez Alkimiy à Casablanca en tant que Conseiller Commercial Francophone. Vous contribuerez activement au développement du chiffre d'affaires en gérant le cycle de vente,CDI,"Emploi - Alkimy Entreprise: Alkimy Secteur: Offshoring / Nearshoring Postes proposés: 27 Description: ALKIMIY est une entreprise basée à Casablanca, spécialisée dans la création et le développement d’équipes commerciales à haute performance. Sa mission est claire : créer un environnement où les talents ambitieux peuvent atteindre leur plein potentiel et générer des résultats mesurables. Pour cela, ALKIMIY s’appuie sur une approche structurée reposant sur des méthodes propriétaires, un accompagnement intensif et une culture forte de la performance. L’entreprise... ALKIMIY est une entreprise basée à Casablanca, spécialisée dans la création et le développement d’équipes commerciales à haute performance. Sa mission est claire : créer un environnement où les talents ambitieux peuvent atteindre leur plein potentiel et générer des résultats mesurables. Pour cela, ALKIMIY s’appuie sur une approche structurée reposant sur des méthodes propriétaires, un accompagnement intensif et une culture forte de la performance. L’entreprise a développé un système unique, combinant formation accélérée, coaching quotidien et analyse des performances (notamment via des outils d’intelligence artific",rekrute,"Cadre Commercial Francophone Top Performers Analyse Offshoring / Nearshoring Emploi - Alkimy Entreprise: Alkimy Secteur: Offshoring / Nearshoring Postes proposés: 27 Description: ALKIMIY est une entreprise basée à Casablanca, spécialisée dans la création et le développement d’équipes commerciales à haute performance. Sa mission est claire : créer un environnement où les talents ambitieux peuvent atteindre leur plein potentiel et générer des résultats mesurables. Pour cela, ALKIMIY s’appuie sur une approche structurée reposant sur des méthodes propriétaires, un accompagnement intensif et une culture forte de la performance. L’entreprise... ALKIMIY est une entreprise basée à Casablanca, spécialisée dans la création et le développement d’équipes commerciales à haute performance. Sa mission est claire : créer un environnement où les talents ambitieux peuvent atteindre leur plein potentiel et générer des résultats mesurables. Pour cela, ALKIMIY s’appuie sur une approche structurée reposant sur des méthodes propriétaires, un accompagnement intensif et une culture forte de la performance. L’entreprise a développé un système unique, combinant formation accélérée, coaching quotidien et analyse des performances (notamment via des outils d’intelligence artific",cadre commercial francophone top performer analyse offshoring nearshoring emploi alkimy entreprise alkimy secteur offshoring nearshoring poste propose description alkimiy entreprise casablanca specialise creation developpement dequipe commercial haute performance mission clair creer environnement talent ambitieux pouvoir atteindre plein potentiel generer resultat mesurable celer alkimiy sappuie approche structure reposer methode proprietaire accompagnement intensif culture fort performance lentreprise alkimiy entreprise casablanca specialise creation developpement dequipe commercial haute performance mission clair creer environnement talent ambitieux pouvoir atteindre plein potentiel generer resultat mesurable celer alkimiy sappuie approche structure reposer methode proprietaire accompagnement intensif culture fort performance lentreprise developpe systeme unique combiner formation acceleree coaching quotidien analyse performance outil dintelligence artific,-1
Candidature Spontanée,Weclose,Offshoring / Nearshoring,Casablanca (Maroc),Vente,"Lancer 4K Candidature Spontanée | Casablanca (Maroc) 3 Rejoignez Weclose, filiale d'un leader du closing commercial au Maroc, pour des postes de closers expérimentés ou en reconversion. Vous vous concentrerez sur la conversion de prospects chauds en",CDI,"Emploi - Weclose Entreprise: Weclose Secteur: Offshoring / Nearshoring Postes proposés: 23 Description: Nous sommes un groupe multinational numéro 1 sur le marché francophone du closing commercial haut niveau. Nous ouvrons notre filiale Weclose à Casablanca et recherchons nos talents de demain. Notre mission est simple : convertir des Leads (prospects chauds) en clients engagés, avec précision, impact et efficacité. Pas de prospection. Pas de perte de temps. Que du closing pur. Nous réunissons une équipe de performers, passionnés par la psychologie de la vente, l’écoute stratégique et la... Nous sommes un groupe multinational numéro 1 sur le marché francophone du closing commercial haut niveau . Nous ouvrons notre filiale Weclose à Casablanca et recherchons nos talents de demain. Notre mission est simple : convertir des Leads (prospects chauds) en clients engagés , avec précision, impact et efficacité. Pas de prospection. Pas de perte de temps. Que du closing pur. Nous réunissons une équipe de performers , passionnés par la psychologie de la vente, l’écoute stratégique et la conclusion parfaite. Notre environnement est rapide, dynamique, exigeant — et nous ouvrons nos port",rekrute,"Candidature Spontanée Vente Offshoring / Nearshoring Emploi - Weclose Entreprise: Weclose Secteur: Offshoring / Nearshoring Postes proposés: 23 Description: Nous sommes un groupe multinational numéro 1 sur le marché francophone du closing commercial haut niveau. Nous ouvrons notre filiale Weclose à Casablanca et recherchons nos talents de demain. Notre mission est simple : convertir des Leads (prospects chauds) en clients engagés, avec précision, impact et efficacité. Pas de prospection. Pas de perte de temps. Que du closing pur. Nous réunissons une équipe de performers, passionnés par la psychologie de la vente, l’écoute stratégique et la... Nous sommes un groupe multinational numéro 1 sur le marché francophone du closing commercial haut niveau . Nous ouvrons notre filiale Weclose à Casablanca et recherchons nos talents de demain. Notre mission est simple : convertir des Leads (prospects chauds) en clients engagés , avec précision, impact et efficacité. Pas de prospection. Pas de perte de temps. Que du closing pur. Nous réunissons une équipe de performers , passionnés par la psychologie de la vente, l’écoute stratégique et la conclusion parfaite. Notre environnement est rapide, dynamique, exigeant — et nous ouvrons nos port",candidature spontane vent offshoring nearshoring emploi weclose entreprise weclose secteur offshoring nearshoring poste propose description groupe multinational numero marche francophone closing commercial haut niveau ouvrir filiale weclose casablanca recherchon talent demain mission simple convertir lead prospect chaud client engage precision impact efficacite prospection perte temps closing pur reunisser equipe performer passionne psychologie vente lecoute strategiqu groupe multinational numero marche francophone closing commercial haut niveau ouvrir filiale weclose casablanca recherchon talent demain mission simple convertir lead prospect chaud client engage precision impact efficacite prospection perte temps closing pur reunisser equipe performer passionne psychologie vente lecoute strategiqu conclusion parfait environnement rapide dynamique exiger ouvrir port,-1
Ingénieur Analyste - Décisionnel (H/F),,,Casablanca (Maroc),"Analyse, SQL","Lancer 4K Ingénieur Analyste - Décisionnel (H/F) | Casablanca (Maroc) 9 Ingénieur Analyste Décisionnel (H/F) chez Disty Technologies au Maroc. Concevez et réalisez des outils d'analyse de données, collectez, nettoyez et analysez des données (SQL Ser",CDI,"1 - 9 sur 9 Page 1 sur 1 Ingénieur Analyste - Décisionnel (H/F) | Casablanca (Maroc) 9 Ingénieur Analyste Décisionnel (H/F) chez Disty Technologies au Maroc. Concevez et réalisez des outils d'analyse de données, collectez, nettoyez et analysez des données (SQL Server), et créez des tableaux de bord. Formation d'ingénieur avec expérience requise.",rekrute,"Ingénieur Analyste - Décisionnel (H/F) Analyse, SQL 1 - 9 sur 9 Page 1 sur 1 Ingénieur Analyste - Décisionnel (H/F) | Casablanca (Maroc) 9 Ingénieur Analyste Décisionnel (H/F) chez Disty Technologies au Maroc. Concevez et réalisez des outils d'analyse de données, collectez, nettoyez et analysez des données (SQL Server), et créez des tableaux de bord. Formation d'ingénieur avec expérience requise.",ingenieur analyst decisionnel heure analyse sql page ingenieur analyst decisionnel heure casablanca maroc ingenieur analyst decisionnel heure disty technologier maroc concevoir realiser outil analyse donnee collecter nettoyer analyser donnee sql server creez tableau bord formation ingenieur experience requérir,-1
Chef d'équipe production,,,Casablanca (Maroc),,"Lancer 4K Chef d'équipe production | Casablanca (Maroc) 6 Rejoignez le Groupe Richbond en tant que Chef d'équipe production! Vous serez responsable de garantir le respect des objectifs de production (coût, qualité, délai, sécurité) et d'animer votre",CDI,"1 - 6 sur 6 Page 1 sur 1 Chef d'équipe production | Casablanca (Maroc) 6 Rejoignez le Groupe Richbond en tant que Chef d'équipe production! Vous serez responsable de garantir le respect des objectifs de production (coût, qualité, délai, sécurité) et d'animer votre équipe. Vous devez posséder une formation BAC+2/3 et une expérience significative de 5 ans minimum dans un poste similaire, avec des qualités de leadership et d'organisation.",rekrute,"Chef d'équipe production 1 - 6 sur 6 Page 1 sur 1 Chef d'équipe production | Casablanca (Maroc) 6 Rejoignez le Groupe Richbond en tant que Chef d'équipe production! Vous serez responsable de garantir le respect des objectifs de production (coût, qualité, délai, sécurité) et d'animer votre équipe. Vous devez posséder une formation BAC+2/3 et une expérience significative de 5 ans minimum dans un poste similaire, avec des qualités de leadership et d'organisation.",chef equipe production page chef equipe production casablanca maroc rejoindre groupe richbond chef equipe production responsable garantir respect objectif production cout qualit deler securit animer equipe devoir posseder formation bac experience significatif minimum poste similaire qualite leadership organisation,-1
Responsable département animation & business coverage,Finéa,Banque / Finance,Casablanca (Maroc),,"Lancer 4K Responsable département animation & business coverage | Casablanca (Maroc) 4 Finéa recherche un Responsable Département Animation & Business Coverage à Casablanca. Ce poste implique la supervision des processus commerciaux, le recouvrement",CDI,"Emploi - Finéa Entreprise: Finéa Secteur: Banque / Finance Postes proposés: 3 Description: Agissant en complémentarités et en partenariat avec les banques conventionnées pour leur apporter son expertise et sa garantie, Finéa, Filiale du groupe CDG, est un établissement de place qui a pour mission et vocation de faciliter l’accès des entreprises, PME en particulier, au financement et à la commande publique et ou privée. Afin de renforcer son implication auprès de la PME et consolider sa position en tant qu'acteur majeur agissant en faveur du développement économique du Maroc, Finéa... Agissant en complémentarités et en partenariat avec les banques conventionnées pour leur apporter son expertise et sa garantie, Finéa , Filiale du groupe CDG , est un établissement de place qui a pour mission et vocation de faciliter l’accès des entreprises, PME en particulier, au financement et à la commande publique et ou privée. Afin de renforcer son implication auprès de la PME et consolider sa position en tant qu'acteur majeur agissant en faveur du développement économique du Maroc, Finéa adopte un plan de développement 2013-2017 visant à apporter davantage d'inflexion dans le cadre de sa mi",rekrute,"Responsable département animation & business coverage Banque / Finance Emploi - Finéa Entreprise: Finéa Secteur: Banque / Finance Postes proposés: 3 Description: Agissant en complémentarités et en partenariat avec les banques conventionnées pour leur apporter son expertise et sa garantie, Finéa, Filiale du groupe CDG, est un établissement de place qui a pour mission et vocation de faciliter l’accès des entreprises, PME en particulier, au financement et à la commande publique et ou privée. Afin de renforcer son implication auprès de la PME et consolider sa position en tant qu'acteur majeur agissant en faveur du développement économique du Maroc, Finéa... Agissant en complémentarités et en partenariat avec les banques conventionnées pour leur apporter son expertise et sa garantie, Finéa , Filiale du groupe CDG , est un établissement de place qui a pour mission et vocation de faciliter l’accès des entreprises, PME en particulier, au financement et à la commande publique et ou privée. Afin de renforcer son implication auprès de la PME et consolider sa position en tant qu'acteur majeur agissant en faveur du développement économique du Maroc, Finéa adopte un plan de développement 2013-2017 visant à apporter davantage d'inflexion dans le cadre de sa mi",responsable departement animation business coverag banqu finance emploi finea entreprise finea secteur banqu finance poste propose description agir complementarite partenariat banque conventionnee apporter expertise garantie finea filiale groupe cdg etablissement place mission vocation faciliter lacce entreprise particulier financement commande public privee renforcer implication aupre pme consolider position acteur majeur agir faveur developpement economiqu maroc finea agir complementarite partenariat banque conventionnee apporter expertise garantie finea filiale groupe cdg etablissement place mission vocation faciliter lacce entreprise particulier financement commande public privee renforcer implication aupre pme consolider position acteur majeur agir faveur developpement economiqu maroc finea adopt plan developpement viser apporter davantage inflexion cadre,-1
Avocat / Juriste / Fiscaliste - Secteur Distribution,,,,,confirmée en recouvrement contentieux,CDI,"Chargé de recouvrement contentieux - Casa Avocat / Juriste / Fiscaliste - Secteur Distribution Confirmé (5 à 10 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +3 - Licence Flexibilité Besoin d'autonomie Implication au travail Ambition Organisation CDI Télétravail : Non Publiée il y a 7 jours sur ReKrute.com - Postulez avant le 06/06/2026 J'aime Entreprise : Entreprise en forte croissance, acteur majeur basé à Casablanca, reconnue pour son exigence opérationnelle et la qualité de ses services, recherche des profils engagés pour accompagner son développement. Nous offrons un environnement structuré, dynamique et orienté performance, favorisant l’autonomie, la responsabilisation et le développement des compétences. Poste : Dans le cadre du renforcement de notre équipe, nous recrutons un Chargé de Recouvrement Contentieux expérimenté. Missions : Gérer les dossiers clients en phase contentieuse Suivre les procédures judiciaires en coordinat",rekrute,"Avocat / Juriste / Fiscaliste - Secteur Distribution Chargé de recouvrement contentieux - Casa Avocat / Juriste / Fiscaliste - Secteur Distribution Confirmé (5 à 10 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +3 - Licence Flexibilité Besoin d'autonomie Implication au travail Ambition Organisation CDI Télétravail : Non Publiée il y a 7 jours sur ReKrute.com - Postulez avant le 06/06/2026 J'aime Entreprise : Entreprise en forte croissance, acteur majeur basé à Casablanca, reconnue pour son exigence opérationnelle et la qualité de ses services, recherche des profils engagés pour accompagner son développement. Nous offrons un environnement structuré, dynamique et orienté performance, favorisant l’autonomie, la responsabilisation et le développement des compétences. Poste : Dans le cadre du renforcement de notre équipe, nous recrutons un Chargé de Recouvrement Contentieux expérimenté. Missions : Gérer les dossiers clients en phase contentieuse Suivre les procédures judiciaires en coordinat",avocat juriste fiscaliste secteur distribution charge recouvremer contentieux casa avocat juriste fiscaliste secteur distribution confirmer post casablanca region maroc bac licence flexibilit besoin autonomie implication travail ambition organisation cdi teletravail non publiee jour rekrute com postulez aime entreprise entreprendre fort croissance acteur majeur base casablanca reconnaître exigence operationnell qualite service recherche profil engage accompagner developpement offrir environnement structure dynamique oriente performanc favorisant lautonomie responsabilisation developpement competence post cadre renforcement equipe recruter charge recouvremer contentieux experiment mission gerer dossier client phase contentieux procedure judiciaire coordinat,-1
Ingénieur(e) Senior en Études Routières,CID,BTP / Génie Civil,Sala al Jadida (Maroc),,"Lancer 4K Ingénieur(e) Senior en Études Routières | Sala al Jadida (Maroc) 1 CID, leader de l'ingénierie au Maroc, recrute un(e) Ingénieur(e) Senior en Études Routières expérimenté(e). Vous piloterez et réaliserez des études routières complexes, enca",CDI,"Emploi - CID Entreprise: CID Secteur: BTP / Génie Civil Postes proposés: 3 Description: Fondée en 1982, CID est une entreprise d’ingénierie pluridisciplinaire spécialisée dans les domaines du génie civil, du bâtiment, des transports et de l'hydraulique. Leader de l’ingénierie au Maroc, CID dispose d'une équipe permanente de 400 collaborateurs. Elle apporte son expertise et son savoir-faire en matière de maitrise d’œuvre et d’assistance à la maitrise d’ouvrages. CID fait de son capital humain, une valeur fondamentale et une priorité d’investissement... Fondée en 1982, CID est une entreprise d’ingénierie pluridisciplinaire spécialisée dans les domaines du génie civil, du bâtiment, des transports et de l'hydraulique. Leader de l’ingénierie au Maroc, CID dispose d'une équipe permanente de 400 collaborateurs. Elle apporte son expertise et son savoir-faire en matière de maitrise d’œuvre et d’assistance à la maitrise d’ouvrages. CID fait de son capital humain, une valeur fondamentale et une priorité d’investissement en offrant un plan de carrière clair et personnalisé, reconnaissant les compétences et les performances des équipes. [-] Suivre 1 - 3 sur 3 Page 1",rekrute,"Ingénieur(e) Senior en Études Routières BTP / Génie Civil Emploi - CID Entreprise: CID Secteur: BTP / Génie Civil Postes proposés: 3 Description: Fondée en 1982, CID est une entreprise d’ingénierie pluridisciplinaire spécialisée dans les domaines du génie civil, du bâtiment, des transports et de l'hydraulique. Leader de l’ingénierie au Maroc, CID dispose d'une équipe permanente de 400 collaborateurs. Elle apporte son expertise et son savoir-faire en matière de maitrise d’œuvre et d’assistance à la maitrise d’ouvrages. CID fait de son capital humain, une valeur fondamentale et une priorité d’investissement... Fondée en 1982, CID est une entreprise d’ingénierie pluridisciplinaire spécialisée dans les domaines du génie civil, du bâtiment, des transports et de l'hydraulique. Leader de l’ingénierie au Maroc, CID dispose d'une équipe permanente de 400 collaborateurs. Elle apporte son expertise et son savoir-faire en matière de maitrise d’œuvre et d’assistance à la maitrise d’ouvrages. CID fait de son capital humain, une valeur fondamentale et une priorité d’investissement en offrant un plan de carrière clair et personnalisé, reconnaissant les compétences et les performances des équipes. [-] Suivre 1 - 3 sur 3 Page 1",ingenieur senior etude routiere btp geni civil emploi cid entreprise cid secteur btp geni civil poste propose description fondee cid entreprise dingenierie pluridisciplinaire specialise domaine genie civil batiment transport hydraulique leader lingenierie maroc cid dispose equipe permanent collaborateur apporter expertise savoir faire matiere maitrise duvr dassistance maitrise douvrages cid faire capital humain valeur fondamental priorite dinvestissemer fondee cid entreprise dingenierie pluridisciplinaire specialise domaine genie civil batiment transport hydraulique leader lingenierie maroc cid dispose equipe permanent collaborateur apporter expertise savoir faire matiere maitrise duvr dassistance maitrise douvrages cid faire capital humain valeur fondamental priorite dinvestissemer offrir plan carriere clair personnalis reconnaître competence performance equipe page,-1
Electricité - Secteur BTP / Génie Civil - Electricité,,,,,,CDI,"Ingénieur Électricien / Chef de Projet - Tanger Electricité - Secteur BTP / Génie Civil - Electricité Intermédiaire (3 à 5 ans) 1 poste(s) sur Tanger et région - Maroc Bac +5 et plus - Ecole d'ingénieur Recherche de nouveauté Créativité Volonté de persuasion Flexibilité Besoin d'autonomie Implication au travail Humilité Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 7 jours sur ReKrute.com - Postulez avant le 06/06/2026 J'aime Entreprise : Poste : Dans le cadre du développement de nos projets industriels, nous recherchons un Ingénieur Électricien expérimenté pour occuper un poste de Chef de Projet Électricité. Vous interviendrez sur des projets d’installations électriques complètes en milieu industriel, notamment dans le cadre de la construction d’une usine d’équipement automobile comprenant : • Postes de transformation HT/BT • Groupes électrogènes • Canalis (systèmes de distribution par canalisation préfabriq",rekrute,"Electricité - Secteur BTP / Génie Civil - Electricité Ingénieur Électricien / Chef de Projet - Tanger Electricité - Secteur BTP / Génie Civil - Electricité Intermédiaire (3 à 5 ans) 1 poste(s) sur Tanger et région - Maroc Bac +5 et plus - Ecole d'ingénieur Recherche de nouveauté Créativité Volonté de persuasion Flexibilité Besoin d'autonomie Implication au travail Humilité Organisation CDI Télétravail : Non Poste avec Management Publiée il y a 7 jours sur ReKrute.com - Postulez avant le 06/06/2026 J'aime Entreprise : Poste : Dans le cadre du développement de nos projets industriels, nous recherchons un Ingénieur Électricien expérimenté pour occuper un poste de Chef de Projet Électricité. Vous interviendrez sur des projets d’installations électriques complètes en milieu industriel, notamment dans le cadre de la construction d’une usine d’équipement automobile comprenant : • Postes de transformation HT/BT • Groupes électrogènes • Canalis (systèmes de distribution par canalisation préfabriq",electricite secteur btp geni civil electricite ingenieur electricien chef projet tanger electricite secteur btp geni civil electricite intermediair post tanger region maroc bac ecole ingenieur recherche nouveaute creativit volont persuasion flexibilit besoin autonomie implication travail humilit organisation cdi teletravail non post management publiee jour rekrute com postulez aime entreprise post cadre developpement projet industriel rechercher ingenieur electricien experiment occuper poste chef projet electricite intervenir projet dinstallatier electrique complete milieu industriel cadre construction dune usine dequipement automobile comprendre poste transformation groupe electrogene canali systeme distribution canalisation prefabriq,-1
Commercial / Vente / Export- Distribution (métiers de la)- Secteur Indifférent,,,,Vente,,CDI,"Chef de projet développement réseau - Casablanca Commercial / Vente / Export - Distribution (métiers de la) - Secteur Indifférent Intermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +5 et plus - Master - Université Créativité Volonté de persuasion Rationalisme Ténacité Besoin d'action Travail en équipe Ambition Organisation CDI Télétravail : Non Publiée il y a 7 jours sur ReKrute.com - Postulez avant le 06/06/2026 J'aime Entreprise : Rejoignez une entreprise marocaine de référence, acteur clé dans des secteurs stratégiques. Engagé en faveur du développement durable et de l’innovation, le groupe offre à ses talents un environnement stimulant, des parcours de carrière diversifiés et une culture d’entreprise fondée sur la performance et la responsabilité. Vous souhaitez donner du sens à votre parcours professionnel ? Venez construire l’avenir avec nous. Poste : Rejoignez une entreprise dyna",rekrute,"Commercial / Vente / Export- Distribution (métiers de la)- Secteur Indifférent Vente Chef de projet développement réseau - Casablanca Commercial / Vente / Export - Distribution (métiers de la) - Secteur Indifférent Intermédiaire (3 à 5 ans) - Confirmé (5 à 10 ans) 1 poste(s) sur Casablanca et région - Maroc Bac +5 et plus - Master - Université Créativité Volonté de persuasion Rationalisme Ténacité Besoin d'action Travail en équipe Ambition Organisation CDI Télétravail : Non Publiée il y a 7 jours sur ReKrute.com - Postulez avant le 06/06/2026 J'aime Entreprise : Rejoignez une entreprise marocaine de référence, acteur clé dans des secteurs stratégiques. Engagé en faveur du développement durable et de l’innovation, le groupe offre à ses talents un environnement stimulant, des parcours de carrière diversifiés et une culture d’entreprise fondée sur la performance et la responsabilité. Vous souhaitez donner du sens à votre parcours professionnel ? Venez construire l’avenir avec nous. Poste : Rejoignez une entreprise dyna",commercial vente export distribution metiers secteur indifferent vente chef projet developpement reseau casablanca commercial vente export distribution metiers secteur indifferent intermediair confirmer post casablanca region maroc bac master universit creativite volont persuasion rationalism tenacite besoin travail equipe ambition organisation cdi teletravail non publiee jour rekrute com postulez aime entreprise rejoindre entreprise marocain reference acteur cle secteur strategique engager faveur developpement durable linnovation groupe offrir talent environnement stimuler parcours carriere diversifie culture dentreprise fondee performance responsabilite souhaiter donner sens parcours professionnel venir construire lavenir poste rejoindre entreprise dyna,33
